




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (5140)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
response to interleukin-4 (GO:0070670)	38	19	9.49	+	2.00	1.01E-03	1.76E-02
glycolytic process (GO:0006096)	48	24	11.99	+	2.00	1.78E-04	4.28E-03
dicarboxylic acid metabolic process (GO:0043648)	96	48	23.98	+	2.00	1.55E-07	8.20E-06
triglyceride homeostasis (GO:0070328)	44	22	10.99	+	2.00	3.49E-04	7.54E-03
Golgi to plasma membrane protein transport (GO:0043001)	32	16	7.99	+	2.00	3.14E-03	4.42E-02
regulation of mitotic spindle checkpoint (GO:1903504)	32	16	7.99	+	2.00	3.14E-03	4.42E-02
positive regulation of muscle contraction (GO:0045933)	54	27	13.49	+	2.00	9.56E-05	2.57E-03
positive regulation of heart contraction (GO:0045823)	38	19	9.49	+	2.00	1.01E-03	1.76E-02
pyridine-containing compound catabolic process (GO:0072526)	56	28	13.99	+	2.00	6.61E-05	1.85E-03
T cell differentiation in thymus (GO:0033077)	66	33	16.48	+	2.00	1.16E-05	4.05E-04
ribose phosphate biosynthetic process (GO:0046390)	169	84	42.21	+	1.99	5.01E-12	5.93E-10
amide biosynthetic process (GO:0043604)	157	78	39.21	+	1.99	2.47E-11	2.51E-09
purine ribonucleotide biosynthetic process (GO:0009152)	147	73	36.71	+	1.99	1.43E-10	1.30E-08
sulfur compound biosynthetic process (GO:0044272)	109	54	27.22	+	1.98	3.97E-08	2.43E-06
L-amino acid catabolic process (GO:0170035)	87	43	21.73	+	1.98	1.16E-06	5.16E-05
purine nucleotide biosynthetic process (GO:0006164)	177	87	44.21	+	1.97	4.57E-12	5.48E-10
ADP catabolic process (GO:0046032)	51	25	12.74	+	1.96	2.45E-04	5.56E-03
mitotic spindle organization (GO:0007052)	100	49	24.98	+	1.96	2.93E-07	1.47E-05
acyl-CoA metabolic process (GO:0006637)	98	48	24.48	+	1.96	4.26E-07	2.06E-05
acyl-CoA biosynthetic process (GO:0071616)	47	23	11.74	+	1.96	5.12E-04	1.04E-02
generation of precursor metabolites and energy (GO:0006091)	366	179	91.41	+	1.96	3.73E-23	1.59E-20
regulation of polysaccharide metabolic process (GO:0032881)	45	22	11.24	+	1.96	7.49E-04	1.43E-02
metabolic compound salvage (GO:0043094)	45	22	11.24	+	1.96	7.49E-04	1.43E-02
NADH dehydrogenase complex assembly (GO:0010257)	41	20	10.24	+	1.95	9.46E-04	1.73E-02
mitochondrial respiratory chain complex I assembly (GO:0032981)	41	20	10.24	+	1.95	9.46E-04	1.73E-02
nucleoside monophosphate metabolic process (GO:0009123)	80	39	19.98	+	1.95	5.95E-06	2.23E-04
positive regulation of blood circulation (GO:1903524)	39	19	9.74	+	1.95	1.33E-03	2.20E-02
response to antibiotic (GO:0046677)	37	18	9.24	+	1.95	1.88E-03	2.89E-02
actin filament capping (GO:0051693)	35	17	8.74	+	1.94	2.68E-03	3.92E-02
purine ribonucleoside diphosphate metabolic process (GO:0009179)	70	34	17.48	+	1.94	2.08E-05	6.79E-04
purine nucleoside diphosphate metabolic process (GO:0009135)	70	34	17.48	+	1.94	2.08E-05	6.78E-04
regulation of mitotic sister chromatid separation (GO:0010965)	70	34	17.48	+	1.94	2.08E-05	6.76E-04
cardiac muscle cell development (GO:0055013)	62	30	15.48	+	1.94	8.55E-05	2.33E-03
nutrient storage (GO:0170062)	60	29	14.99	+	1.94	1.24E-04	3.22E-03
ADP metabolic process (GO:0046031)	58	28	14.49	+	1.93	1.80E-04	4.30E-03
non-proteinogenic amino acid metabolic process (GO:0170041)	58	28	14.49	+	1.93	1.80E-04	4.30E-03
ribonucleotide metabolic process (GO:0009259)	315	152	78.67	+	1.93	3.09E-19	8.31E-17
nicotinamide nucleotide metabolic process (GO:0046496)	114	55	28.47	+	1.93	8.77E-08	4.94E-06
regulation of chromosome separation (GO:1905818)	85	41	21.23	+	1.93	3.62E-06	1.46E-04
long-chain fatty acid transport (GO:0015909)	54	26	13.49	+	1.93	2.23E-04	5.14E-03
negative regulation of carbohydrate metabolic process (GO:0045912)	52	25	12.99	+	1.92	3.13E-04	6.88E-03
alcohol biosynthetic process (GO:0046165)	96	46	23.98	+	1.92	1.24E-06	5.51E-05
cellular detoxification (GO:1990748)	117	56	29.22	+	1.92	8.04E-08	4.58E-06
signaling receptor ligand precursor processing (GO:0140448)	46	22	11.49	+	1.91	8.93E-04	1.66E-02
insulin secretion (GO:0030073)	46	22	11.49	+	1.91	8.93E-04	1.66E-02
ribose phosphate metabolic process (GO:0019693)	322	154	80.42	+	1.91	4.70E-19	1.20E-16
purine-containing compound catabolic process (GO:0072523)	109	52	27.22	+	1.91	3.05E-07	1.53E-05
nucleotide biosynthetic process (GO:0009165)	212	101	52.95	+	1.91	1.07E-12	1.42E-10
leukocyte cell-cell adhesion (GO:0007159)	63	30	15.73	+	1.91	1.05E-04	2.79E-03
fatty acid metabolic process (GO:0006631)	336	160	83.92	+	1.91	2.26E-19	6.21E-17
inner mitochondrial membrane organization (GO:0007007)	42	20	10.49	+	1.91	1.85E-03	2.85E-02
peptide hormone processing (GO:0016486)	42	20	10.49	+	1.91	1.85E-03	2.85E-02
regulation of cardiac muscle contraction (GO:0055117)	84	40	20.98	+	1.91	6.63E-06	2.46E-04
purine ribonucleotide metabolic process (GO:0009150)	294	140	73.43	+	1.91	3.57E-17	8.37E-15
modified amino acid biosynthetic process (GO:0042398)	42	20	10.49	+	1.91	1.85E-03	2.84E-02
purine-containing compound biosynthetic process (GO:0072522)	242	115	60.44	+	1.90	3.24E-14	5.41E-12
triglyceride metabolic process (GO:0006641)	80	38	19.98	+	1.90	1.28E-05	4.41E-04
positive regulation of fatty acid metabolic process (GO:0045923)	40	19	9.99	+	1.90	2.69E-03	3.92E-02
negative regulation of mitotic nuclear division (GO:0045839)	40	19	9.99	+	1.90	2.69E-03	3.91E-02
nucleoside phosphate biosynthetic process (GO:1901293)	297	141	74.18	+	1.90	3.22E-17	7.66E-15
mitochondrion localization (GO:0051646)	59	28	14.74	+	1.90	2.11E-04	4.91E-03
regulation of cholesterol transport (GO:0032374)	59	28	14.74	+	1.90	2.11E-04	4.90E-03
regulation of sterol transport (GO:0032371)	59	28	14.74	+	1.90	2.11E-04	4.90E-03
endocytic recycling (GO:0032456)	93	44	23.23	+	1.89	3.09E-06	1.28E-04
cellular response to glucose stimulus (GO:0071333)	72	34	17.98	+	1.89	5.04E-05	1.46E-03
regulation of biological process involved in symbiotic interaction (GO:0043903)	36	17	8.99	+	1.89	3.54E-03	4.83E-02
regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0010880)	36	17	8.99	+	1.89	3.54E-03	4.83E-02
ribonucleotide catabolic process (GO:0009261)	89	42	22.23	+	1.89	6.07E-06	2.27E-04
positive regulation of fat cell differentiation (GO:0045600)	70	33	17.48	+	1.89	7.19E-05	2.00E-03
nucleoside diphosphate metabolic process (GO:0009132)	87	41	21.73	+	1.89	8.57E-06	3.09E-04
fatty acid derivative metabolic process (GO:1901568)	85	40	21.23	+	1.88	1.21E-05	4.21E-04
alpha-amino acid metabolic process (GO:1901605)	204	96	50.95	+	1.88	8.45E-12	9.75E-10
regulation of mitotic sister chromatid segregation (GO:0033047)	66	31	16.48	+	1.88	1.48E-04	3.67E-03
polyol biosynthetic process (GO:0046173)	49	23	12.24	+	1.88	8.08E-04	1.52E-02
purine nucleotide metabolic process (GO:0006163)	369	173	92.16	+	1.88	3.99E-20	1.16E-17
pyridine-containing compound metabolic process (GO:0072524)	128	60	31.97	+	1.88	8.79E-08	4.93E-06
response to activity (GO:0014823)	79	37	19.73	+	1.88	3.56E-05	1.10E-03
regulation of cellular respiration (GO:0043457)	47	22	11.74	+	1.87	1.13E-03	1.94E-02
L-amino acid biosynthetic process (GO:0170034)	47	22	11.74	+	1.87	1.13E-03	1.94E-02
positive regulation of glucose metabolic process (GO:0010907)	47	22	11.74	+	1.87	1.13E-03	1.94E-02
lipid modification (GO:0030258)	154	72	38.46	+	1.87	5.29E-09	3.95E-07
nucleoside phosphate catabolic process (GO:1901292)	137	64	34.22	+	1.87	4.33E-08	2.63E-06
positive regulation of hydrolase activity (GO:0051345)	103	48	25.72	+	1.87	1.85E-06	7.94E-05
carbohydrate derivative transport (GO:1901264)	88	41	21.98	+	1.87	1.06E-05	3.77E-04
ceramide biosynthetic process (GO:0046513)	58	27	14.49	+	1.86	3.69E-04	7.94E-03
regulation of glucose metabolic process (GO:0010906)	101	47	25.23	+	1.86	2.56E-06	1.07E-04
prostate gland development (GO:0030850)	43	20	10.74	+	1.86	2.25E-03	3.36E-02
purine-containing compound metabolic process (GO:0072521)	507	235	126.63	+	1.86	6.53E-26	3.06E-23
unsaturated fatty acid biosynthetic process (GO:0006636)	41	19	10.24	+	1.86	3.19E-03	4.48E-02
regulation of neuroinflammatory response (GO:0150077)	41	19	10.24	+	1.86	3.19E-03	4.47E-02
purine ribonucleoside diphosphate catabolic process (GO:0009181)	54	25	13.49	+	1.85	7.34E-04	1.40E-02
purine nucleoside diphosphate catabolic process (GO:0009137)	54	25	13.49	+	1.85	7.34E-04	1.40E-02
L-amino acid metabolic process (GO:0170033)	171	79	42.71	+	1.85	2.11E-09	1.67E-07
organic acid metabolic process (GO:0006082)	827	382	206.55	+	1.85	1.49E-41	1.54E-38
purine nucleotide catabolic process (GO:0006195)	91	42	22.73	+	1.85	1.39E-05	4.77E-04
cholesterol homeostasis (GO:0042632)	102	47	25.48	+	1.84	4.79E-06	1.87E-04
monocarboxylic acid metabolic process (GO:0032787)	530	244	132.37	+	1.84	1.76E-26	8.52E-24
nucleotide metabolic process (GO:0009117)	428	197	106.90	+	1.84	1.72E-21	6.40E-19
iron ion transport (GO:0006826)	50	23	12.49	+	1.84	1.49E-03	2.40E-02
receptor clustering (GO:0043113)	50	23	12.49	+	1.84	1.49E-03	2.39E-02
peptide secretion (GO:0002790)	74	34	18.48	+	1.84	1.18E-04	3.07E-03
nucleoside phosphate metabolic process (GO:0006753)	579	266	144.61	+	1.84	1.31E-28	7.06E-26
proteinogenic amino acid catabolic process (GO:0170040)	85	39	21.23	+	1.84	2.61E-05	8.33E-04
oxoacid metabolic process (GO:0043436)	818	375	204.30	+	1.84	6.58E-40	5.97E-37
sphingolipid biosynthetic process (GO:0030148)	107	49	26.72	+	1.83	2.87E-06	1.19E-04
nucleobase-containing small molecule metabolic process (GO:0055086)	605	277	151.10	+	1.83	2.18E-29	1.27E-26
ribonucleoside diphosphate metabolic process (GO:0009185)	83	38	20.73	+	1.83	3.61E-05	1.11E-03
ribonucleoside diphosphate catabolic process (GO:0009191)	59	27	14.74	+	1.83	7.11E-04	1.38E-02
nucleoside diphosphate catabolic process (GO:0009134)	59	27	14.74	+	1.83	7.11E-04	1.38E-02
peptide hormone secretion (GO:0030072)	70	32	17.48	+	1.83	1.53E-04	3.77E-03
purine ribonucleotide catabolic process (GO:0009154)	81	37	20.23	+	1.83	5.00E-05	1.45E-03
sterol homeostasis (GO:0055092)	103	47	25.72	+	1.83	5.57E-06	2.12E-04
carboxylic acid metabolic process (GO:0019752)	797	363	199.06	+	1.82	1.06E-37	8.52E-35
heart contraction (GO:0060047)	101	46	25.23	+	1.82	7.80E-06	2.84E-04
regulation of muscle contraction (GO:0006937)	178	81	44.46	+	1.82	2.70E-09	2.11E-07
small molecule catabolic process (GO:0044282)	352	160	87.91	+	1.82	5.61E-17	1.27E-14
spindle organization (GO:0007051)	174	79	43.46	+	1.82	5.29E-09	3.96E-07
cellular response to carbohydrate stimulus (GO:0071322)	86	39	21.48	+	1.82	4.55E-05	1.34E-03
cellular response to hexose stimulus (GO:0071331)	75	34	18.73	+	1.82	1.36E-04	3.43E-03
regulation of carbohydrate catabolic process (GO:0043470)	64	29	15.98	+	1.81	4.12E-04	8.61E-03
fatty acid derivative biosynthetic process (GO:1901570)	53	24	13.24	+	1.81	1.27E-03	2.11E-02
sulfur compound metabolic process (GO:0006790)	274	124	68.43	+	1.81	2.57E-13	3.82E-11
regulation of generation of precursor metabolites and energy (GO:0043467)	135	61	33.72	+	1.81	3.59E-07	1.77E-05
regulation of muscle adaptation (GO:0043502)	82	37	20.48	+	1.81	9.08E-05	2.45E-03
cellular anatomical entity morphogenesis (GO:0032989)	133	60	33.22	+	1.81	5.03E-07	2.42E-05
cellular component assembly involved in morphogenesis (GO:0010927)	133	60	33.22	+	1.81	5.03E-07	2.41E-05
negative regulation of actin filament polymerization (GO:0030837)	51	23	12.74	+	1.81	1.77E-03	2.75E-02
hexose metabolic process (GO:0019318)	160	72	39.96	+	1.80	3.52E-08	2.19E-06
ceramide metabolic process (GO:0006672)	98	44	24.48	+	1.80	1.81E-05	6.00E-04
regulation of carbohydrate metabolic process (GO:0006109)	176	79	43.96	+	1.80	1.14E-08	8.01E-07
nucleotide catabolic process (GO:0009166)	116	52	28.97	+	1.79	4.06E-06	1.62E-04
2'-deoxyribonucleotide metabolic process (GO:0009394)	47	21	11.74	+	1.79	3.52E-03	4.81E-02
Golgi to plasma membrane transport (GO:0006893)	56	25	13.99	+	1.79	1.62E-03	2.58E-02
bone mineralization (GO:0030282)	56	25	13.99	+	1.79	1.62E-03	2.58E-02
lipid catabolic process (GO:0016042)	307	137	76.68	+	1.79	5.58E-14	8.91E-12
fatty acid biosynthetic process (GO:0006633)	130	58	32.47	+	1.79	1.14E-06	5.08E-05
organophosphate catabolic process (GO:0046434)	195	87	48.70	+	1.79	1.99E-09	1.62E-07
negative regulation of ERK1 and ERK2 cascade (GO:0070373)	74	33	18.48	+	1.79	2.29E-04	5.25E-03
monocarboxylic acid transport (GO:0015718)	148	66	36.96	+	1.79	2.62E-07	1.33E-05
monosaccharide metabolic process (GO:0005996)	184	82	45.96	+	1.78	8.61E-09	6.23E-07
lipid homeostasis (GO:0055088)	184	82	45.96	+	1.78	8.61E-09	6.20E-07
small molecule biosynthetic process (GO:0044283)	474	211	118.38	+	1.78	8.49E-21	2.81E-18
striated muscle contraction (GO:0006941)	173	77	43.21	+	1.78	2.49E-08	1.59E-06
response to fatty acid (GO:0070542)	63	28	15.73	+	1.78	7.05E-04	1.37E-02
regulation of T cell receptor signaling pathway (GO:0050856)	63	28	15.73	+	1.78	7.05E-04	1.37E-02
sterol transport (GO:0015918)	81	36	20.23	+	1.78	1.46E-04	3.63E-03
regulation of purine nucleotide catabolic process (GO:0033121)	54	24	13.49	+	1.78	2.30E-03	3.44E-02
regulation of glycolytic process (GO:0006110)	54	24	13.49	+	1.78	2.30E-03	3.43E-02
regulation of vascular associated smooth muscle cell proliferation (GO:1904705)	54	24	13.49	+	1.78	2.30E-03	3.43E-02
regulation of nucleotide catabolic process (GO:0030811)	54	24	13.49	+	1.78	2.30E-03	3.43E-02
G1/S transition of mitotic cell cycle (GO:0000082)	79	35	19.73	+	1.77	2.04E-04	4.82E-03
cytoplasmic microtubule organization (GO:0031122)	70	31	17.48	+	1.77	4.42E-04	9.12E-03
regulation of nitric oxide metabolic process (GO:0080164)	61	27	15.24	+	1.77	9.76E-04	1.77E-02
regulation of fatty acid biosynthetic process (GO:0042304)	52	23	12.99	+	1.77	3.27E-03	4.57E-02
vesicle-mediated transport to the plasma membrane (GO:0098876)	147	65	36.71	+	1.77	4.09E-07	1.99E-05
steroid biosynthetic process (GO:0006694)	95	42	23.73	+	1.77	4.18E-05	1.25E-03
cellular response to toxic substance (GO:0097237)	129	57	32.22	+	1.77	1.87E-06	8.02E-05
cellular response to monosaccharide stimulus (GO:0071326)	77	34	19.23	+	1.77	2.87E-04	6.35E-03
cardiac cell development (GO:0055006)	68	30	16.98	+	1.77	6.16E-04	1.22E-02
glucose metabolic process (GO:0006006)	118	52	29.47	+	1.76	5.61E-06	2.13E-04
regulation of cardiac muscle hypertrophy (GO:0010611)	59	26	14.74	+	1.76	1.35E-03	2.21E-02
regulation of fatty acid metabolic process (GO:0019217)	109	48	27.22	+	1.76	1.76E-05	5.86E-04
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	134	59	33.47	+	1.76	1.66E-06	7.23E-05
amino acid metabolic process (GO:0006520)	284	125	70.93	+	1.76	2.15E-12	2.72E-10
membrane lipid catabolic process (GO:0046466)	50	22	12.49	+	1.76	3.05E-03	4.34E-02
amide metabolic process (GO:0043603)	423	186	105.65	+	1.76	8.05E-18	1.95E-15
positive regulation of GTPase activity (GO:0043547)	82	36	20.48	+	1.76	1.75E-04	4.22E-03
monocarboxylic acid biosynthetic process (GO:0072330)	180	79	44.96	+	1.76	3.01E-08	1.88E-06
small molecule metabolic process (GO:0044281)	1549	678	386.87	+	1.75	2.09E-63	1.01E-59
proteinogenic amino acid metabolic process (GO:0170039)	167	73	41.71	+	1.75	1.22E-07	6.58E-06
regulation of gluconeogenesis (GO:0006111)	55	24	13.74	+	1.75	2.63E-03	3.87E-02
lung alveolus development (GO:0048286)	55	24	13.74	+	1.75	2.63E-03	3.86E-02
regulation of muscle system process (GO:0090257)	250	109	62.44	+	1.75	1.26E-10	1.16E-08
organic acid biosynthetic process (GO:0016053)	287	125	71.68	+	1.74	4.94E-12	5.89E-10
regulation of muscle hypertrophy (GO:0014743)	62	27	15.48	+	1.74	1.69E-03	2.64E-02
striated muscle cell differentiation (GO:0051146)	223	97	55.70	+	1.74	1.81E-09	1.48E-07
mitochondrial transport (GO:0006839)	92	40	22.98	+	1.74	1.41E-04	3.54E-03
regulation of carbohydrate biosynthetic process (GO:0043255)	99	43	24.73	+	1.74	5.97E-05	1.71E-03
response to axon injury (GO:0048678)	53	23	13.24	+	1.74	3.68E-03	5.00E-02
long-chain fatty acid metabolic process (GO:0001676)	113	49	28.22	+	1.74	2.54E-05	8.11E-04
secondary alcohol metabolic process (GO:1902652)	134	58	33.47	+	1.73	4.61E-06	1.82E-04
phosphatidylcholine metabolic process (GO:0046470)	67	29	16.73	+	1.73	1.01E-03	1.77E-02
muscle cell differentiation (GO:0042692)	289	125	72.18	+	1.73	9.41E-12	1.06E-09
membrane lipid biosynthetic process (GO:0046467)	148	64	36.96	+	1.73	1.28E-06	5.63E-05
heart process (GO:0003015)	111	48	27.72	+	1.73	2.38E-05	7.70E-04
sphingolipid metabolic process (GO:0006665)	162	70	40.46	+	1.73	3.69E-07	1.81E-05
cell cycle G1/S phase transition (GO:0044843)	81	35	20.23	+	1.73	4.14E-04	8.64E-03
vascular transport (GO:0010232)	88	38	21.98	+	1.73	1.80E-04	4.32E-03
transport across blood-brain barrier (GO:0150104)	88	38	21.98	+	1.73	1.80E-04	4.31E-03
response to glucocorticoid (GO:0051384)	139	60	34.72	+	1.73	2.73E-06	1.14E-04
response to hypoxia (GO:0001666)	283	122	70.68	+	1.73	2.43E-11	2.51E-09
carboxylic acid biosynthetic process (GO:0046394)	283	122	70.68	+	1.73	2.43E-11	2.49E-09
regulation of nitric oxide biosynthetic process (GO:0045428)	58	25	14.49	+	1.73	3.35E-03	4.66E-02
regulation of macrophage activation (GO:0043030)	58	25	14.49	+	1.73	3.35E-03	4.66E-02
regulation of mitochondrion organization (GO:0010821)	116	50	28.97	+	1.73	2.05E-05	6.71E-04
response to decreased oxygen levels (GO:0036293)	295	127	73.68	+	1.72	9.54E-12	1.07E-09
response to oxygen levels (GO:0070482)	323	139	80.67	+	1.72	1.14E-12	1.51E-10
response to carbohydrate (GO:0009743)	172	74	42.96	+	1.72	2.03E-07	1.04E-05
spindle assembly (GO:0051225)	107	46	26.72	+	1.72	4.44E-05	1.33E-03
regulation of mitotic nuclear division (GO:0007088)	128	55	31.97	+	1.72	8.10E-06	2.94E-04
regulation of D-glucose transmembrane transport (GO:0010827)	77	33	19.23	+	1.72	5.47E-04	1.10E-02
regulation of small molecule metabolic process (GO:0062012)	337	144	84.17	+	1.71	8.41E-13	1.14E-10
energy homeostasis (GO:0097009)	96	41	23.98	+	1.71	1.33E-04	3.38E-03
glycerolipid catabolic process (GO:0046503)	61	26	15.24	+	1.71	2.68E-03	3.92E-02
positive regulation of B cell activation (GO:0050871)	87	37	21.73	+	1.70	4.17E-04	8.68E-03
positive regulation of carbohydrate metabolic process (GO:0045913)	80	34	19.98	+	1.70	6.43E-04	1.27E-02
organophosphate metabolic process (GO:0019637)	977	415	244.01	+	1.70	1.45E-34	1.11E-31
response to monosaccharide (GO:0034284)	146	62	36.46	+	1.70	4.67E-06	1.83E-04
organophosphate biosynthetic process (GO:0090407)	568	241	141.86	+	1.70	2.87E-20	8.88E-18
transition metal ion transport (GO:0000041)	99	42	24.73	+	1.70	1.57E-04	3.86E-03
cardiac muscle contraction (GO:0060048)	85	36	21.23	+	1.70	5.78E-04	1.15E-02
fat cell differentiation (GO:0045444)	130	55	32.47	+	1.69	1.51E-05	5.13E-04
regulation of lipid localization (GO:1905952)	156	66	38.96	+	1.69	2.45E-06	1.03E-04
cellular response to fibroblast growth factor stimulus (GO:0044344)	78	33	19.48	+	1.69	8.88E-04	1.65E-02
positive regulation of small molecule metabolic process (GO:0062013)	156	66	38.96	+	1.69	2.45E-06	1.02E-04
cholesterol metabolic process (GO:0008203)	123	52	30.72	+	1.69	2.42E-05	7.76E-04
integrin-mediated signaling pathway (GO:0007229)	97	41	24.23	+	1.69	2.17E-04	5.01E-03
cell cycle phase transition (GO:0044770)	154	65	38.46	+	1.69	3.36E-06	1.37E-04
positive regulation of protein localization to plasma membrane (GO:1903078)	64	27	15.98	+	1.69	3.33E-03	4.65E-02
response to nutrient (GO:0007584)	147	62	36.71	+	1.69	5.15E-06	1.99E-04
centrosome cycle (GO:0007098)	102	43	25.48	+	1.69	1.33E-04	3.38E-03
carbohydrate derivative catabolic process (GO:1901136)	209	88	52.20	+	1.69	5.08E-08	3.06E-06
regulation of smooth muscle cell proliferation (GO:0048660)	126	53	31.47	+	1.68	2.82E-05	8.87E-04
acylglycerol metabolic process (GO:0006639)	107	45	26.72	+	1.68	1.14E-04	2.99E-03
response to toxic substance (GO:0009636)	255	107	63.69	+	1.68	2.34E-09	1.85E-07
cardiac muscle cell differentiation (GO:0055007)	93	39	23.23	+	1.68	4.12E-04	8.60E-03
unsaturated fatty acid metabolic process (GO:0033559)	105	44	26.22	+	1.68	1.56E-04	3.83E-03
circadian regulation of gene expression (GO:0032922)	67	28	16.73	+	1.67	2.66E-03	3.89E-02
response to glucose (GO:0009749)	134	56	33.47	+	1.67	2.04E-05	6.68E-04
organelle transport along microtubule (GO:0072384)	91	38	22.73	+	1.67	5.68E-04	1.13E-02
amino acid transmembrane transport (GO:0003333)	103	43	25.72	+	1.67	2.14E-04	4.95E-03
response to hexose (GO:0009746)	139	58	34.72	+	1.67	1.81E-05	5.98E-04
neutral lipid metabolic process (GO:0006638)	108	45	26.97	+	1.67	1.31E-04	3.34E-03
intracellular glucose homeostasis (GO:0001678)	101	42	25.23	+	1.66	2.93E-04	6.46E-03
positive regulation of organelle assembly (GO:1902117)	89	37	22.23	+	1.66	5.40E-04	1.09E-02
mitotic cell cycle phase transition (GO:0044772)	142	59	35.47	+	1.66	1.47E-05	5.01E-04
import across plasma membrane (GO:0098739)	183	76	45.71	+	1.66	7.83E-07	3.57E-05
membrane lipid metabolic process (GO:0006643)	212	88	52.95	+	1.66	1.48E-07	7.90E-06
amine metabolic process (GO:0009308)	82	34	20.48	+	1.66	1.20E-03	2.02E-02
glycosphingolipid metabolic process (GO:0006687)	70	29	17.48	+	1.66	3.24E-03	4.54E-02
positive regulation of lipid localization (GO:1905954)	99	41	24.73	+	1.66	4.01E-04	8.44E-03
regulation of calcium-mediated signaling (GO:0050848)	99	41	24.73	+	1.66	4.01E-04	8.43E-03
amide transport (GO:0042886)	145	60	36.21	+	1.66	1.76E-05	5.87E-04
positive regulation of cold-induced thermogenesis (GO:0120162)	104	43	25.97	+	1.66	2.41E-04	5.50E-03
muscle system process (GO:0003012)	339	140	84.67	+	1.65	4.00E-11	3.96E-09
sterol metabolic process (GO:0016125)	143	59	35.72	+	1.65	2.40E-05	7.74E-04
polyol metabolic process (GO:0019751)	97	40	24.23	+	1.65	5.51E-04	1.10E-02
mitochondrial membrane organization (GO:0007006)	114	47	28.47	+	1.65	1.28E-04	3.27E-03
response to fibroblast growth factor (GO:0071774)	85	35	21.23	+	1.65	9.92E-04	1.76E-02
regulation of nucleotide metabolic process (GO:0006140)	85	35	21.23	+	1.65	9.92E-04	1.76E-02
regulation of purine nucleotide metabolic process (GO:1900542)	85	35	21.23	+	1.65	9.92E-04	1.76E-02
carbohydrate biosynthetic process (GO:0016051)	107	44	26.72	+	1.65	2.84E-04	6.31E-03
pyrimidine-containing compound metabolic process (GO:0072527)	73	30	18.23	+	1.65	2.58E-03	3.81E-02
muscle contraction (GO:0006936)	285	117	71.18	+	1.64	2.04E-09	1.64E-07
phosphate-containing compound metabolic process (GO:0006796)	1394	572	348.16	+	1.64	2.48E-42	3.61E-39
T cell differentiation (GO:0030217)	200	82	49.95	+	1.64	6.21E-07	2.89E-05
phosphorus metabolic process (GO:0006793)	1396	572	348.66	+	1.64	4.43E-42	5.86E-39
regulation of striated muscle cell differentiation (GO:0051153)	83	34	20.73	+	1.64	1.35E-03	2.20E-02
regulation of hydrolase activity (GO:0051336)	164	67	40.96	+	1.64	7.34E-06	2.69E-04
cellular response to ionizing radiation (GO:0071479)	71	29	17.73	+	1.64	3.53E-03	4.83E-02
regulation of protein localization to plasma membrane (GO:1903076)	120	49	29.97	+	1.63	1.24E-04	3.21E-03
peptide transport (GO:0015833)	98	40	24.48	+	1.63	6.00E-04	1.19E-02
organic cation transport (GO:0015695)	98	40	24.48	+	1.63	6.00E-04	1.19E-02
positive regulation of protein localization to cell periphery (GO:1904377)	76	31	18.98	+	1.63	3.11E-03	4.39E-02
protein transmembrane transport (GO:0071806)	81	33	20.23	+	1.63	1.83E-03	2.81E-02
regulation of steroid metabolic process (GO:0019218)	108	44	26.97	+	1.63	3.14E-04	6.89E-03
circadian rhythm (GO:0007623)	140	57	34.97	+	1.63	4.78E-05	1.40E-03
glycolipid biosynthetic process (GO:0009247)	86	35	21.48	+	1.63	1.58E-03	2.53E-02
tissue remodeling (GO:0048771)	118	48	29.47	+	1.63	1.66E-04	4.07E-03
T cell receptor signaling pathway (GO:0050852)	118	48	29.47	+	1.63	1.66E-04	4.06E-03
membraneless organelle assembly (GO:0140694)	389	158	97.16	+	1.63	8.95E-12	1.02E-09
alcohol metabolic process (GO:0006066)	313	127	78.17	+	1.62	1.35E-09	1.11E-07
regulation of ketone metabolic process (GO:0010565)	143	58	35.72	+	1.62	3.94E-05	1.19E-03
lipoprotein metabolic process (GO:0042157)	74	30	18.48	+	1.62	2.95E-03	4.21E-02
microtubule organizing center organization (GO:0031023)	116	47	28.97	+	1.62	2.23E-04	5.15E-03
negative regulation of small molecule metabolic process (GO:0062014)	116	47	28.97	+	1.62	2.23E-04	5.14E-03
regulation of GTPase activity (GO:0043087)	121	49	30.22	+	1.62	1.91E-04	4.54E-03
negative regulation of MAPK cascade (GO:0043409)	163	66	40.71	+	1.62	1.55E-05	5.24E-04
lipid biosynthetic process (GO:0008610)	593	240	148.11	+	1.62	5.30E-17	1.22E-14
carbohydrate catabolic process (GO:0016052)	129	52	32.22	+	1.61	1.35E-04	3.41E-03
carboxylic acid transmembrane transport (GO:1905039)	139	56	34.72	+	1.61	7.08E-05	1.97E-03
response to purine-containing compound (GO:0014074)	144	58	35.97	+	1.61	6.14E-05	1.74E-03
