




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (5121)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
cell-cell adhesion mediated by cadherin (GO:0044331)	40	24	9.95	+	2.41	2.52E-06	7.47E-05
detection of calcium ion (GO:0005513)	15	9	3.73	+	2.41	4.04E-03	3.92E-02
embryonic digestive tract development (GO:0048566)	35	21	8.71	+	2.41	1.07E-05	2.68E-04
behavioral response to pain (GO:0048266)	20	12	4.98	+	2.41	8.89E-04	1.21E-02
regulation of glutamate receptor signaling pathway (GO:1900449)	15	9	3.73	+	2.41	4.04E-03	3.92E-02
regulation of glial cell migration (GO:1903975)	15	9	3.73	+	2.41	4.04E-03	3.92E-02
prostaglandin transport (GO:0015732)	15	9	3.73	+	2.41	4.04E-03	3.91E-02
negative regulation of myotube differentiation (GO:0010832)	15	9	3.73	+	2.41	4.04E-03	3.91E-02
regulation of humoral immune response mediated by circulating immunoglobulin (GO:0002923)	15	9	3.73	+	2.41	4.04E-03	3.91E-02
aromatic amino acid metabolic process (GO:0009072)	42	25	10.45	+	2.39	1.92E-06	5.82E-05
plasma lipoprotein particle remodeling (GO:0034369)	37	22	9.21	+	2.39	8.15E-06	2.10E-04
protein-lipid complex remodeling (GO:0034368)	37	22	9.21	+	2.39	8.15E-06	2.09E-04
synaptic transmission, cholinergic (GO:0007271)	27	16	6.72	+	2.38	1.51E-04	2.70E-03
membrane depolarization during action potential (GO:0086010)	27	16	6.72	+	2.38	1.51E-04	2.70E-03
positive regulation of synapse assembly (GO:0051965)	71	42	17.67	+	2.38	8.61E-10	4.93E-08
response to ether (GO:0045472)	22	13	5.47	+	2.37	6.63E-04	9.52E-03
intestinal epithelial cell differentiation (GO:0060575)	22	13	5.47	+	2.37	6.63E-04	9.51E-03
protein-containing complex remodeling (GO:0034367)	39	23	9.70	+	2.37	6.16E-06	1.66E-04
specification of animal organ identity (GO:0010092)	17	10	4.23	+	2.36	2.98E-03	3.14E-02
mesenchymal to epithelial transition (GO:0060231)	17	10	4.23	+	2.36	2.98E-03	3.14E-02
regulation of fibrinolysis (GO:0051917)	17	10	4.23	+	2.36	2.98E-03	3.14E-02
postsynaptic specialization assembly (GO:0098698)	17	10	4.23	+	2.36	2.98E-03	3.13E-02
eating behavior (GO:0042755)	34	20	8.46	+	2.36	2.63E-05	5.98E-04
endocrine pancreas development (GO:0031018)	34	20	8.46	+	2.36	2.63E-05	5.97E-04
membrane depolarization during cardiac muscle cell action potential (GO:0086012)	17	10	4.23	+	2.36	2.98E-03	3.13E-02
synaptic membrane adhesion (GO:0099560)	29	17	7.22	+	2.36	1.13E-04	2.10E-03
secretion by tissue (GO:0032941)	24	14	5.97	+	2.34	4.93E-04	7.26E-03
ligand-gated ion channel signaling pathway (GO:1990806)	36	21	8.96	+	2.34	1.97E-05	4.66E-04
response to pain (GO:0048265)	36	21	8.96	+	2.34	1.97E-05	4.65E-04
regulation of heart rate by cardiac conduction (GO:0086091)	43	25	10.70	+	2.34	3.50E-06	9.97E-05
positive regulation of potassium ion transport (GO:0043268)	31	18	7.71	+	2.33	8.46E-05	1.62E-03
neuron recognition (GO:0008038)	50	29	12.44	+	2.33	6.26E-07	2.13E-05
arginine metabolic process (GO:0006525)	19	11	4.73	+	2.33	2.19E-03	2.46E-02
drinking behavior (GO:0042756)	19	11	4.73	+	2.33	2.19E-03	2.45E-02
fibrinolysis (GO:0042730)	19	11	4.73	+	2.33	2.19E-03	2.45E-02
phosphate ion homeostasis (GO:0055062)	19	11	4.73	+	2.33	2.19E-03	2.45E-02
protein O-linked glycosylation via N-acetyl-galactosamine (GO:0016266)	38	22	9.46	+	2.33	1.48E-05	3.56E-04
melanocyte differentiation (GO:0030318)	19	11	4.73	+	2.33	2.19E-03	2.45E-02
GABAergic neuron differentiation (GO:0097154)	19	11	4.73	+	2.33	2.19E-03	2.45E-02
chemosensory behavior (GO:0007635)	19	11	4.73	+	2.33	2.19E-03	2.45E-02
positive regulation of acute inflammatory response (GO:0002675)	26	15	6.47	+	2.32	3.66E-04	5.70E-03
extracellular transport (GO:0006858)	52	30	12.94	+	2.32	8.09E-07	2.67E-05
cardiac muscle cell contraction (GO:0086003)	54	31	13.44	+	2.31	5.45E-07	1.87E-05
water transport (GO:0006833)	28	16	6.97	+	2.30	2.71E-04	4.49E-03
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	28	16	6.97	+	2.30	2.71E-04	4.48E-03
striated muscle hypertrophy (GO:0014897)	28	16	6.97	+	2.30	2.71E-04	4.48E-03
calcium-independent cell-cell adhesion (GO:0016338)	21	12	5.23	+	2.30	1.61E-03	1.90E-02
potassium ion transmembrane transport (GO:0071805)	172	98	42.80	+	2.29	2.64E-19	3.96E-17
inorganic ion import across plasma membrane (GO:0099587)	113	64	28.12	+	2.28	8.94E-13	7.43E-11
inorganic cation import across plasma membrane (GO:0098659)	113	64	28.12	+	2.28	8.94E-13	7.39E-11
regulation of sensory perception (GO:0051931)	23	13	5.72	+	2.27	1.18E-03	1.49E-02
regulation of sensory perception of pain (GO:0051930)	23	13	5.72	+	2.27	1.18E-03	1.49E-02
positive regulation of potassium ion transmembrane transport (GO:1901381)	23	13	5.72	+	2.27	1.18E-03	1.48E-02
benzene-containing compound metabolic process (GO:0042537)	23	13	5.72	+	2.27	1.18E-03	1.48E-02
atrial cardiac muscle tissue development (GO:0003228)	23	13	5.72	+	2.27	1.18E-03	1.48E-02
action potential (GO:0001508)	131	74	32.60	+	2.27	1.31E-14	1.37E-12
cardiac muscle cell development (GO:0055013)	62	35	15.43	+	2.27	1.31E-07	5.16E-06
axonemal dynein complex assembly (GO:0070286)	41	23	10.20	+	2.25	2.72E-05	6.16E-04
endocardial cushion formation (GO:0003272)	25	14	6.22	+	2.25	8.65E-04	1.19E-02
calcium ion import (GO:0070509)	43	24	10.70	+	2.24	1.88E-05	4.45E-04
negative regulation of bone resorption (GO:0045779)	18	10	4.48	+	2.23	5.21E-03	4.72E-02
cell-cell adhesion mediated by integrin (GO:0033631)	18	10	4.48	+	2.23	5.21E-03	4.72E-02
metanephric nephron morphogenesis (GO:0072273)	18	10	4.48	+	2.23	5.21E-03	4.72E-02
ventricular cardiac muscle cell differentiation (GO:0055012)	18	10	4.48	+	2.23	5.21E-03	4.71E-02
biogenic amine biosynthetic process (GO:0042401)	36	20	8.96	+	2.23	1.14E-04	2.12E-03
dendritic spine morphogenesis (GO:0060997)	18	10	4.48	+	2.23	5.21E-03	4.71E-02
negative regulation of humoral immune response (GO:0002921)	18	10	4.48	+	2.23	5.21E-03	4.71E-02
cardiac muscle hypertrophy (GO:0003300)	27	15	6.72	+	2.23	1.07E-03	1.38E-02
cardiac muscle contraction (GO:0060048)	85	47	21.15	+	2.22	2.74E-09	1.50E-07
regulation of microtubule depolymerization (GO:0031114)	38	21	9.46	+	2.22	7.86E-05	1.53E-03
mast cell activation involved in immune response (GO:0002279)	29	16	7.22	+	2.22	7.13E-04	1.01E-02
mast cell degranulation (GO:0043303)	29	16	7.22	+	2.22	7.13E-04	1.01E-02
regulation of hair cycle (GO:0042634)	29	16	7.22	+	2.22	7.13E-04	1.01E-02
positive regulation of adenylate cyclase activity (GO:0045762)	20	11	4.98	+	2.21	3.77E-03	3.82E-02
negative regulation of bone remodeling (GO:0046851)	20	11	4.98	+	2.21	3.77E-03	3.82E-02
signal transduction involved in regulation of gene expression (GO:0023019)	20	11	4.98	+	2.21	3.77E-03	3.81E-02
type B pancreatic cell differentiation (GO:0003309)	20	11	4.98	+	2.21	3.77E-03	3.81E-02
endocardial cushion morphogenesis (GO:0003203)	40	22	9.95	+	2.21	5.48E-05	1.11E-03
pulmonary valve morphogenesis (GO:0003184)	20	11	4.98	+	2.21	3.77E-03	3.81E-02
glutamate receptor signaling pathway (GO:0007215)	51	28	12.69	+	2.21	4.79E-06	1.33E-04
sodium ion transmembrane transport (GO:0035725)	164	90	40.81	+	2.21	2.78E-16	3.34E-14
metanephric nephron development (GO:0072210)	31	17	7.71	+	2.20	4.81E-04	7.14E-03
neurotransmitter uptake (GO:0001504)	31	17	7.71	+	2.20	4.81E-04	7.13E-03
positive regulation of behavior (GO:0048520)	31	17	7.71	+	2.20	4.81E-04	7.12E-03
modulation of excitatory postsynaptic potential (GO:0098815)	53	29	13.19	+	2.20	3.47E-06	9.90E-05
triglyceride catabolic process (GO:0019433)	22	12	5.47	+	2.19	4.58E-03	4.23E-02
positive regulation of mitotic sister chromatid separation (GO:1901970)	22	12	5.47	+	2.19	4.58E-03	4.23E-02
trans-synaptic signaling, modulating synaptic transmission (GO:0099550)	22	12	5.47	+	2.19	4.58E-03	4.23E-02
positive regulation of lyase activity (GO:0051349)	22	12	5.47	+	2.19	4.58E-03	4.22E-02
middle ear morphogenesis (GO:0042474)	22	12	5.47	+	2.19	4.58E-03	4.22E-02
intracellular sodium ion homeostasis (GO:0006883)	33	18	8.21	+	2.19	3.29E-04	5.26E-03
positive regulation of excitatory postsynaptic potential (GO:2000463)	33	18	8.21	+	2.19	3.29E-04	5.26E-03
positive regulation of chromosome separation (GO:1905820)	33	18	8.21	+	2.19	3.29E-04	5.25E-03
regulation of potassium ion transport (GO:0043266)	79	43	19.66	+	2.19	2.19E-08	1.02E-06
regulation of smooth muscle contraction (GO:0006940)	59	32	14.68	+	2.18	2.24E-06	6.69E-05
negative regulation of systemic arterial blood pressure (GO:0003085)	24	13	5.97	+	2.18	3.03E-03	3.18E-02
positive regulation of synaptic transmission (GO:0050806)	146	79	36.33	+	2.17	4.73E-14	4.58E-12
potassium ion transport (GO:0006813)	183	99	45.54	+	2.17	2.97E-17	3.93E-15
amine biosynthetic process (GO:0009309)	37	20	9.21	+	2.17	1.60E-04	2.83E-03
positive regulation of regulated secretory pathway (GO:1903307)	50	27	12.44	+	2.17	1.03E-05	2.58E-04
centriole replication (GO:0007099)	26	14	6.47	+	2.16	2.03E-03	2.32E-02
nephron tubule morphogenesis (GO:0072078)	65	35	16.17	+	2.16	7.13E-07	2.39E-05
potassium ion import across plasma membrane (GO:1990573)	52	28	12.94	+	2.16	7.51E-06	1.96E-04
regulation of synaptic transmission, GABAergic (GO:0032228)	39	21	9.70	+	2.16	1.13E-04	2.10E-03
excitatory synapse assembly (GO:1904861)	26	14	6.47	+	2.16	2.03E-03	2.32E-02
positive regulation of heart rate (GO:0010460)	26	14	6.47	+	2.16	2.03E-03	2.32E-02
nephron epithelium morphogenesis (GO:0072088)	67	36	16.67	+	2.16	4.99E-07	1.73E-05
homophilic cell-cell adhesion (GO:0007156)	175	94	43.55	+	2.16	3.23E-16	3.84E-14
positive regulation of G protein-coupled receptor signaling pathway (GO:0045745)	41	22	10.20	+	2.16	8.10E-05	1.56E-03
renal tubule morphogenesis (GO:0061333)	69	37	17.17	+	2.15	3.52E-07	1.28E-05
export across plasma membrane (GO:0140115)	71	38	17.67	+	2.15	2.51E-07	9.39E-06
cell fate determination (GO:0001709)	43	23	10.70	+	2.15	5.82E-05	1.17E-03
cellular extravasation (GO:0045123)	43	23	10.70	+	2.15	5.82E-05	1.17E-03
regulation of digestive system process (GO:0044058)	43	23	10.70	+	2.15	5.82E-05	1.17E-03
neuromuscular synaptic transmission (GO:0007274)	30	16	7.47	+	2.14	9.54E-04	1.27E-02
mitotic spindle assembly checkpoint signaling (GO:0007094)	30	16	7.47	+	2.14	9.54E-04	1.27E-02
response to vitamin D (GO:0033280)	30	16	7.47	+	2.14	9.54E-04	1.27E-02
mitotic spindle checkpoint signaling (GO:0071174)	30	16	7.47	+	2.14	9.54E-04	1.27E-02
spindle assembly checkpoint signaling (GO:0071173)	30	16	7.47	+	2.14	9.54E-04	1.27E-02
regulation of potassium ion transmembrane transport (GO:1901379)	60	32	14.93	+	2.14	2.85E-06	8.29E-05
synaptic transmission, glutamatergic (GO:0035249)	45	24	11.20	+	2.14	4.20E-05	8.86E-04
muscle hypertrophy (GO:0014896)	30	16	7.47	+	2.14	9.54E-04	1.27E-02
axoneme assembly (GO:0035082)	107	57	26.63	+	2.14	3.08E-10	1.86E-08
synaptic vesicle exocytosis (GO:0016079)	62	33	15.43	+	2.14	1.99E-06	6.02E-05
sodium ion transport (GO:0006814)	203	108	50.51	+	2.14	4.41E-18	6.00E-16
mast cell mediated immunity (GO:0002448)	32	17	7.96	+	2.13	6.65E-04	9.54E-03
negative regulation of microtubule depolymerization (GO:0007026)	32	17	7.96	+	2.13	6.65E-04	9.53E-03
regulation of neutrophil chemotaxis (GO:0090022)	32	17	7.96	+	2.13	6.65E-04	9.52E-03
negative regulation of blood pressure (GO:0045776)	49	26	12.19	+	2.13	3.52E-05	7.64E-04
musculoskeletal movement (GO:0050881)	49	26	12.19	+	2.13	3.52E-05	7.63E-04
regulation of animal organ morphogenesis (GO:2000027)	83	44	20.65	+	2.13	5.41E-08	2.30E-06
mast cell activation (GO:0045576)	34	18	8.46	+	2.13	4.69E-04	6.99E-03
nephron morphogenesis (GO:0072028)	68	36	16.92	+	2.13	7.16E-07	2.39E-05
multicellular organismal movement (GO:0050879)	51	27	12.69	+	2.13	2.38E-05	5.46E-04
regulation of morphogenesis of an epithelium (GO:1905330)	68	36	16.92	+	2.13	7.16E-07	2.39E-05
cardiac cell development (GO:0055006)	68	36	16.92	+	2.13	7.16E-07	2.38E-05
establishment of skin barrier (GO:0061436)	34	18	8.46	+	2.13	4.69E-04	6.98E-03
maintenance of synapse structure (GO:0099558)	36	19	8.96	+	2.12	3.33E-04	5.29E-03
calcium ion transmembrane import into cytosol (GO:0097553)	91	48	22.64	+	2.12	1.29E-08	6.25E-07
protein O-linked glycosylation via xylose (GO:0180064)	57	30	14.18	+	2.12	7.90E-06	2.05E-04
cell adhesion mediated by integrin (GO:0033627)	38	20	9.46	+	2.12	2.38E-04	4.00E-03
positive regulation of morphogenesis of an epithelium (GO:1905332)	38	20	9.46	+	2.12	2.38E-04	4.00E-03
axon guidance (GO:0007411)	232	122	57.73	+	2.11	1.27E-19	1.99E-17
neuron projection guidance (GO:0097485)	234	123	58.23	+	2.11	8.92E-20	1.41E-17
long-term synaptic potentiation (GO:0060291)	59	31	14.68	+	2.11	5.57E-06	1.52E-04
mesenchymal cell migration (GO:0090497)	59	31	14.68	+	2.11	5.57E-06	1.52E-04
heart contraction (GO:0060047)	101	53	25.13	+	2.11	4.12E-09	2.17E-07
leukocyte cell-cell adhesion (GO:0007159)	63	33	15.68	+	2.11	2.84E-06	8.29E-05
actin-mediated cell contraction (GO:0070252)	84	44	20.90	+	2.11	7.08E-08	2.92E-06
kidney morphogenesis (GO:0060993)	86	45	21.40	+	2.10	5.02E-08	2.16E-06
neurotransmitter secretion (GO:0007269)	88	46	21.90	+	2.10	3.58E-08	1.58E-06
signal release from synapse (GO:0099643)	88	46	21.90	+	2.10	3.58E-08	1.57E-06
regulation of neurotransmitter secretion (GO:0046928)	90	47	22.40	+	2.10	2.57E-08	1.18E-06
catecholamine metabolic process (GO:0006584)	46	24	11.45	+	2.10	9.40E-05	1.77E-03
catechol-containing compound metabolic process (GO:0009712)	46	24	11.45	+	2.10	9.40E-05	1.77E-03
negative regulation of tissue remodeling (GO:0034104)	25	13	6.22	+	2.09	3.98E-03	3.90E-02
regulation of cAMP/PKA signal transduction (GO:0141161)	50	26	12.44	+	2.09	4.46E-05	9.31E-04
regulation of synaptic transmission, glutamatergic (GO:0051966)	75	39	18.66	+	2.09	5.59E-07	1.91E-05
regulation of the force of heart contraction (GO:0002026)	25	13	6.22	+	2.09	3.98E-03	3.90E-02
digestive tract morphogenesis (GO:0048546)	50	26	12.44	+	2.09	4.46E-05	9.29E-04
enteroendocrine cell differentiation (GO:0035883)	25	13	6.22	+	2.09	3.98E-03	3.90E-02
receptor clustering (GO:0043113)	50	26	12.44	+	2.09	4.46E-05	9.28E-04
thyroid hormone metabolic process (GO:0042403)	25	13	6.22	+	2.09	3.98E-03	3.89E-02
metanephros morphogenesis (GO:0003338)	25	13	6.22	+	2.09	3.98E-03	3.89E-02
regulation of T cell differentiation in thymus (GO:0033081)	27	14	6.72	+	2.08	2.76E-03	2.95E-02
positive regulation of calcium ion import (GO:0090280)	27	14	6.72	+	2.08	2.76E-03	2.95E-02
digestive system process (GO:0022600)	83	43	20.65	+	2.08	1.39E-07	5.44E-06
striated muscle cell development (GO:0055002)	139	72	34.59	+	2.08	8.69E-12	6.55E-10
regulation of presynaptic membrane potential (GO:0099505)	29	15	7.22	+	2.08	1.93E-03	2.22E-02
positive regulation of lipid catabolic process (GO:0050996)	29	15	7.22	+	2.08	1.93E-03	2.21E-02
cranial nerve morphogenesis (GO:0021602)	31	16	7.71	+	2.07	1.36E-03	1.66E-02
neuronal action potential (GO:0019228)	31	16	7.71	+	2.07	1.36E-03	1.65E-02
aminoglycan biosynthetic process (GO:0006023)	31	16	7.71	+	2.07	1.36E-03	1.65E-02
spindle checkpoint signaling (GO:0031577)	31	16	7.71	+	2.07	1.36E-03	1.65E-02
negative regulation of mitotic sister chromatid separation (GO:2000816)	33	17	8.21	+	2.07	9.68E-04	1.28E-02
response to amphetamine (GO:0001975)	33	17	8.21	+	2.07	9.68E-04	1.28E-02
negative regulation of mitotic sister chromatid segregation (GO:0033048)	33	17	8.21	+	2.07	9.68E-04	1.28E-02
negative regulation of sister chromatid segregation (GO:0033046)	33	17	8.21	+	2.07	9.68E-04	1.28E-02
intestinal absorption (GO:0050892)	33	17	8.21	+	2.07	9.68E-04	1.27E-02
hair follicle morphogenesis (GO:0031069)	33	17	8.21	+	2.07	9.68E-04	1.27E-02
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	33	17	8.21	+	2.07	9.68E-04	1.27E-02
microtubule bundle formation (GO:0001578)	138	71	34.34	+	2.07	2.74E-11	1.93E-09
regulation of kidney development (GO:0090183)	35	18	8.71	+	2.07	6.92E-04	9.86E-03
heart process (GO:0003015)	111	57	27.62	+	2.06	2.95E-09	1.61E-07
long-term memory (GO:0007616)	37	19	9.21	+	2.06	8.04E-04	1.12E-02
positive regulation of blood circulation (GO:1903524)	39	20	9.70	+	2.06	5.41E-04	7.93E-03
positive regulation of cytosolic calcium ion concentration (GO:0007204)	162	83	40.31	+	2.06	6.55E-13	5.54E-11
regulation of muscle contraction (GO:0006937)	178	91	44.29	+	2.05	4.31E-14	4.20E-12
autonomic nervous system development (GO:0048483)	45	23	11.20	+	2.05	1.75E-04	3.05E-03
response to amine (GO:0014075)	49	25	12.19	+	2.05	8.62E-05	1.65E-03
chemical synaptic transmission (GO:0007268)	424	216	105.51	+	2.05	2.64E-31	9.36E-29
anterograde trans-synaptic signaling (GO:0098916)	424	216	105.51	+	2.05	2.64E-31	9.14E-29
response to axon injury (GO:0048678)	53	27	13.19	+	2.05	4.37E-05	9.15E-04
neural crest cell migration (GO:0001755)	57	29	14.18	+	2.04	3.68E-05	7.90E-04
trans-synaptic signaling (GO:0099537)	453	230	112.72	+	2.04	6.63E-33	2.83E-30
nephron tubule development (GO:0072080)	83	42	20.65	+	2.03	5.66E-07	1.93E-05
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	99	50	24.63	+	2.03	5.87E-08	2.48E-06
regulation of heart contraction (GO:0008016)	214	108	53.25	+	2.03	7.83E-16	9.17E-14
positive regulation of cation transmembrane transport (GO:1904064)	115	58	28.62	+	2.03	3.48E-09	1.86E-07
synapse assembly (GO:0007416)	135	68	33.59	+	2.02	1.71E-10	1.10E-08
import across plasma membrane (GO:0098739)	183	92	45.54	+	2.02	1.72E-13	1.54E-11
signal release (GO:0023061)	185	93	46.03	+	2.02	1.19E-13	1.11E-11
positive regulation of transporter activity (GO:0032411)	34	17	8.46	+	2.01	2.10E-03	2.37E-02
negative regulation of peptide hormone secretion (GO:0090278)	44	22	10.95	+	2.01	3.35E-04	5.32E-03
renal tubule development (GO:0061326)	88	44	21.90	+	2.01	3.73E-07	1.33E-05
regulation of adenylate cyclase activity (GO:0045761)	30	15	7.47	+	2.01	2.78E-03	2.97E-02
response to glucagon (GO:0033762)	30	15	7.47	+	2.01	2.78E-03	2.97E-02
positive regulation of heart growth (GO:0060421)	32	16	7.96	+	2.01	3.10E-03	3.23E-02
positive regulation of epidermal cell differentiation (GO:0045606)	28	14	6.97	+	2.01	3.92E-03	3.84E-02
blood coagulation, fibrin clot formation (GO:0072378)	26	13	6.47	+	2.01	5.55E-03	4.94E-02
cAMP metabolic process (GO:0046058)	26	13	6.47	+	2.01	5.55E-03	4.93E-02
plasma lipoprotein particle organization (GO:0071827)	54	27	13.44	+	2.01	9.32E-05	1.76E-03
regulation of postsynaptic membrane potential (GO:0060078)	108	54	26.87	+	2.01	1.81E-08	8.62E-07
cell cycle G2/M phase transition (GO:0044839)	58	29	14.43	+	2.01	4.43E-05	9.27E-04
positive regulation of chromosome segregation (GO:0051984)	30	15	7.47	+	2.01	2.78E-03	2.97E-02
regulation of amine transport (GO:0051952)	78	39	19.41	+	2.01	2.10E-06	6.29E-05
semaphorin-plexin signaling pathway (GO:0071526)	46	23	11.45	+	2.01	2.37E-04	4.00E-03
negative regulation of interleukin-2 production (GO:0032703)	26	13	6.47	+	2.01	5.55E-03	4.93E-02
regulation of heart rate (GO:0002027)	108	54	26.87	+	2.01	1.81E-08	8.59E-07
response to ATP (GO:0033198)	32	16	7.96	+	2.01	3.10E-03	3.23E-02
positive regulation of ion transmembrane transporter activity (GO:0032414)	30	15	7.47	+	2.01	2.78E-03	2.97E-02
embryonic camera-type eye morphogenesis (GO:0048596)	26	13	6.47	+	2.01	5.55E-03	4.93E-02
positive regulation of release of sequestered calcium ion into cytosol (GO:0051281)	32	16	7.96	+	2.01	3.10E-03	3.23E-02
postsynapse organization (GO:0099173)	114	57	28.37	+	2.01	1.05E-08	5.17E-07
inhibitory synapse assembly (GO:1904862)	26	13	6.47	+	2.01	5.55E-03	4.93E-02
positive regulation of monoatomic ion transport (GO:0043270)	184	92	45.79	+	2.01	2.11E-13	1.87E-11
potassium ion homeostasis (GO:0055075)	42	21	10.45	+	2.01	4.76E-04	7.07E-03
negative regulation of axon extension (GO:0030517)	32	16	7.96	+	2.01	3.10E-03	3.22E-02
cell communication involved in cardiac conduction (GO:0086065)	42	21	10.45	+	2.01	4.76E-04	7.06E-03
indole-containing compound metabolic process (GO:0042430)	32	16	7.96	+	2.01	3.10E-03	3.22E-02
positive regulation of monoatomic ion transmembrane transport (GO:0034767)	120	60	29.86	+	2.01	3.50E-09	1.86E-07
embryonic forelimb morphogenesis (GO:0035115)	32	16	7.96	+	2.01	3.10E-03	3.22E-02
ovulation cycle process (GO:0022602)	46	23	11.45	+	2.01	2.37E-04	4.00E-03
negative regulation of mitotic nuclear division (GO:0045839)	40	20	9.95	+	2.01	6.81E-04	9.72E-03
cerebral cortex neuron differentiation (GO:0021895)	28	14	6.97	+	2.01	3.92E-03	3.84E-02
positive regulation of heart contraction (GO:0045823)	38	19	9.46	+	2.01	9.82E-04	1.29E-02
neurotransmitter transport (GO:0006836)	141	70	35.09	+	2.00	2.24E-10	1.37E-08
digestive tract development (GO:0048565)	135	67	33.59	+	1.99	6.30E-10	3.71E-08
feeding behavior (GO:0007631)	93	46	23.14	+	1.99	3.72E-07	1.33E-05
regulation of blood circulation (GO:1903522)	267	132	66.44	+	1.99	4.26E-18	5.84E-16
cardiac ventricle morphogenesis (GO:0003208)	73	36	18.16	+	1.98	7.72E-06	2.01E-04
regulation of action potential (GO:0098900)	65	32	16.17	+	1.98	2.11E-05	4.93E-04
biological process involved in intraspecies interaction between organisms (GO:0051703)	61	30	15.18	+	1.98	4.11E-05	8.69E-04
social behavior (GO:0035176)	61	30	15.18	+	1.98	4.11E-05	8.68E-04
regulation of synapse assembly (GO:0051963)	181	89	45.04	+	1.98	2.04E-12	1.64E-10
protein-lipid complex organization (GO:0071825)	57	28	14.18	+	1.97	8.14E-05	1.57E-03
cell junction maintenance (GO:0034331)	57	28	14.18	+	1.97	8.14E-05	1.56E-03
regulation of neurotransmitter transport (GO:0051588)	108	53	26.87	+	1.97	6.55E-08	2.73E-06
smooth muscle contraction (GO:0006939)	53	26	13.19	+	1.97	1.65E-04	2.91E-03
G2/M transition of mitotic cell cycle (GO:0000086)	53	26	13.19	+	1.97	1.65E-04	2.90E-03
ventricular cardiac muscle tissue morphogenesis (GO:0055010)	49	24	12.19	+	1.97	3.45E-04	5.45E-03
hormone secretion (GO:0046879)	90	44	22.40	+	1.96	9.46E-07	3.07E-05
negative regulation of peptide secretion (GO:0002792)	45	22	11.20	+	1.96	7.39E-04	1.04E-02
synaptic signaling (GO:0099536)	496	242	123.42	+	1.96	3.02E-31	1.02E-28
positive regulation of organic acid transport (GO:0032892)	41	20	10.20	+	1.96	9.10E-04	1.24E-02
regulation of catecholamine secretion (GO:0050433)	41	20	10.20	+	1.96	9.10E-04	1.24E-02
positive regulation of amine transport (GO:0051954)	39	19	9.70	+	1.96	1.28E-03	1.59E-02
forelimb morphogenesis (GO:0035136)	39	19	9.70	+	1.96	1.28E-03	1.59E-02
regulation of amino acid transport (GO:0051955)	37	18	9.21	+	1.96	1.83E-03	2.12E-02
epidermis morphogenesis (GO:0048730)	37	18	9.21	+	1.96	1.83E-03	2.12E-02
animal organ formation (GO:0048645)	37	18	9.21	+	1.96	1.83E-03	2.12E-02
peptide secretion (GO:0002790)	74	36	18.41	+	1.96	9.96E-06	2.50E-04
cardiac conduction system development (GO:0003161)	37	18	9.21	+	1.96	1.83E-03	2.12E-02
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	35	17	8.71	+	1.95	2.61E-03	2.84E-02
negative regulation of chromosome separation (GO:1905819)	35	17	8.71	+	1.95	2.61E-03	2.83E-02
hindlimb morphogenesis (GO:0035137)	35	17	8.71	+	1.95	2.61E-03	2.83E-02
peptide hormone secretion (GO:0030072)	70	34	17.42	+	1.95	1.98E-05	4.65E-04
cardiac conduction (GO:0061337)	68	33	16.92	+	1.95	2.81E-05	6.27E-04
kinetochore organization (GO:0051383)	33	16	8.21	+	1.95	3.76E-03	3.81E-02
protein localization to synapse (GO:0035418)	66	32	16.42	+	1.95	4.01E-05	8.54E-04
pharyngeal system development (GO:0060037)	31	15	7.71	+	1.94	5.46E-03	4.88E-02
cardiac muscle tissue morphogenesis (GO:0055008)	62	30	15.43	+	1.94	8.33E-05	1.60E-03
phenol-containing compound metabolic process (GO:0018958)	91	44	22.64	+	1.94	1.24E-06	3.93E-05
mesonephric tubule morphogenesis (GO:0072171)	56	27	13.93	+	1.94	1.52E-04	2.71E-03
mesenchyme morphogenesis (GO:0072132)	56	27	13.93	+	1.94	1.52E-04	2.71E-03
odontogenesis of dentin-containing tooth (GO:0042475)	79	38	19.66	+	1.93	9.76E-06	2.45E-04
regulation of nervous system process (GO:0031644)	131	63	32.60	+	1.93	1.01E-08	5.04E-07
regulation of striated muscle contraction (GO:0006942)	104	50	25.88	+	1.93	3.01E-07	1.11E-05
non-canonical Wnt signaling pathway (GO:0035567)	50	24	12.44	+	1.93	4.26E-04	6.43E-03
muscle cell development (GO:0055001)	169	81	42.05	+	1.93	8.07E-11	5.43E-09
pancreas development (GO:0031016)	71	34	17.67	+	1.92	2.59E-05	5.89E-04
modulation of chemical synaptic transmission (GO:0050804)	523	250	130.14	+	1.92	1.91E-30	5.91E-28
negative regulation of hormone secretion (GO:0046888)	67	32	16.67	+	1.92	5.05E-05	1.03E-03
