




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (5149)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
plasma lipoprotein particle assembly (GO:0034377)	26	16	6.51	+	2.46	8.59E-05	1.15E-03
triglyceride homeostasis (GO:0070328)	44	27	11.01	+	2.45	3.52E-07	8.44E-06
regulation of receptor localization to synapse (GO:1902683)	31	19	7.76	+	2.45	2.01E-05	3.25E-04
viral protein processing (GO:0019082)	31	19	7.76	+	2.45	2.01E-05	3.25E-04
mRNA splice site recognition (GO:0006376)	31	19	7.76	+	2.45	2.01E-05	3.25E-04
protein insertion into ER membrane (GO:0045048)	31	19	7.76	+	2.45	2.01E-05	3.24E-04
synaptic vesicle recycling (GO:0036465)	62	38	15.51	+	2.45	1.55E-09	5.41E-08
vesicle-mediated transport in synapse (GO:0099003)	155	95	38.78	+	2.45	1.00E-21	9.24E-20
regulation of ruffle assembly (GO:1900027)	31	19	7.76	+	2.45	2.01E-05	3.24E-04
acyl-CoA metabolic process (GO:0006637)	98	60	24.52	+	2.45	3.24E-14	1.76E-12
positive regulation of lamellipodium organization (GO:1902745)	36	22	9.01	+	2.44	4.76E-06	9.03E-05
xenobiotic transmembrane transport (GO:0006855)	18	11	4.50	+	2.44	1.25E-03	1.13E-02
metanephric nephron tubule development (GO:0072234)	18	11	4.50	+	2.44	1.25E-03	1.13E-02
purine nucleotide biosynthetic process (GO:0006164)	177	108	44.28	+	2.44	2.80E-24	3.26E-22
metanephric epithelium development (GO:0072207)	23	14	5.75	+	2.43	2.83E-04	3.27E-03
positive regulation of telomere maintenance via telomerase (GO:0032212)	23	14	5.75	+	2.43	2.83E-04	3.26E-03
COPII vesicle coating (GO:0048208)	23	14	5.75	+	2.43	2.83E-04	3.26E-03
vesicle targeting, rough ER to cis-Golgi (GO:0048207)	23	14	5.75	+	2.43	2.83E-04	3.26E-03
purine ribonucleoside triphosphate metabolic process (GO:0009205)	194	118	48.54	+	2.43	3.17E-26	4.23E-24
negative regulation of actin filament polymerization (GO:0030837)	51	31	12.76	+	2.43	6.55E-08	1.78E-06
purine-containing compound biosynthetic process (GO:0072522)	242	147	60.55	+	2.43	2.95E-32	5.80E-30
regulation of actin filament depolymerization (GO:0030834)	56	34	14.01	+	2.43	1.58E-08	4.69E-07
nucleotide-sugar biosynthetic process (GO:0009226)	28	17	7.01	+	2.43	6.56E-05	9.04E-04
fatty-acyl-CoA biosynthetic process (GO:0046949)	28	17	7.01	+	2.43	6.56E-05	9.04E-04
positive regulation of lamellipodium assembly (GO:0010592)	28	17	7.01	+	2.43	6.56E-05	9.03E-04
purine nucleoside triphosphate metabolic process (GO:0009144)	201	122	50.29	+	2.43	6.00E-27	8.46E-25
NADP+ metabolic process (GO:0006739)	33	20	8.26	+	2.42	1.54E-05	2.55E-04
protein localization to mitochondrion (GO:0070585)	71	43	17.76	+	2.42	2.27E-10	8.79E-09
cytoplasmic translational initiation (GO:0002183)	38	23	9.51	+	2.42	3.66E-06	7.12E-05
non-proteinogenic amino acid metabolic process (GO:0170041)	58	35	14.51	+	2.41	1.22E-08	3.71E-07
cytoplasmic translation (GO:0002181)	136	82	34.03	+	2.41	2.54E-18	1.78E-16
protein insertion into membrane (GO:0051205)	73	44	18.26	+	2.41	1.75E-10	6.87E-09
mitochondrial translation (GO:0032543)	108	65	27.02	+	2.41	9.12E-15	5.22E-13
hyperosmotic response (GO:0006972)	25	15	6.25	+	2.40	2.15E-04	2.57E-03
metanephric tubule development (GO:0072170)	20	12	5.00	+	2.40	9.37E-04	9.04E-03
negative regulation of organic acid transport (GO:0032891)	20	12	5.00	+	2.40	9.37E-04	9.03E-03
positive regulation of sodium ion transmembrane transport (GO:1902307)	20	12	5.00	+	2.40	9.37E-04	9.02E-03
regulation of the force of heart contraction (GO:0002026)	25	15	6.25	+	2.40	2.15E-04	2.57E-03
T-helper 1 cell differentiation (GO:0045063)	30	18	7.51	+	2.40	5.00E-05	7.15E-04
thymic T cell selection (GO:0045061)	35	21	8.76	+	2.40	1.18E-05	2.02E-04
mitochondrial transmembrane transport (GO:1990542)	25	15	6.25	+	2.40	2.15E-04	2.57E-03
purine nucleobase metabolic process (GO:0006144)	20	12	5.00	+	2.40	9.37E-04	9.02E-03
detection of calcium ion (GO:0005513)	15	9	3.75	+	2.40	4.20E-03	3.13E-02
macromolecule depalmitoylation (GO:0098734)	15	9	3.75	+	2.40	4.20E-03	3.13E-02
regulation of synaptic vesicle cycle (GO:0098693)	15	9	3.75	+	2.40	4.20E-03	3.13E-02
response to oxygen radical (GO:0000305)	20	12	5.00	+	2.40	9.37E-04	9.01E-03
regulation of vesicle fusion (GO:0031338)	35	21	8.76	+	2.40	1.18E-05	2.02E-04
neurotrophin TRK receptor signaling pathway (GO:0048011)	15	9	3.75	+	2.40	4.20E-03	3.13E-02
mitochondrion transport along microtubule (GO:0047497)	30	18	7.51	+	2.40	5.00E-05	7.15E-04
pyrimidine ribonucleoside monophosphate metabolic process (GO:0009173)	15	9	3.75	+	2.40	4.20E-03	3.12E-02
establishment of mitochondrion localization, microtubule-mediated (GO:0034643)	30	18	7.51	+	2.40	5.00E-05	7.14E-04
establishment of protein localization to mitochondrion (GO:0072655)	80	48	20.02	+	2.40	3.30E-11	1.40E-09
low-density lipoprotein particle clearance (GO:0034383)	15	9	3.75	+	2.40	4.20E-03	3.12E-02
response to thyroid hormone (GO:0097066)	20	12	5.00	+	2.40	9.37E-04	9.01E-03
synaptic vesicle cycle (GO:0099504)	147	88	36.78	+	2.39	2.87E-19	2.21E-17
generation of precursor metabolites and energy (GO:0006091)	366	219	91.57	+	2.39	5.91E-46	2.32E-43
sulfur compound biosynthetic process (GO:0044272)	109	65	27.27	+	2.38	1.71E-14	9.59E-13
synaptic vesicle endocytosis (GO:0048488)	52	31	13.01	+	2.38	1.23E-07	3.21E-06
establishment of protein localization to plasma membrane (GO:0061951)	52	31	13.01	+	2.38	1.23E-07	3.21E-06
bile acid metabolic process (GO:0008206)	42	25	10.51	+	2.38	2.14E-06	4.39E-05
skeletal muscle contraction (GO:0003009)	37	22	9.26	+	2.38	8.96E-06	1.61E-04
sulfur compound catabolic process (GO:0044273)	37	22	9.26	+	2.38	8.96E-06	1.60E-04
plasma lipoprotein particle remodeling (GO:0034369)	37	22	9.26	+	2.38	8.96E-06	1.60E-04
protein-lipid complex remodeling (GO:0034368)	37	22	9.26	+	2.38	8.96E-06	1.60E-04
regulation of myoblast fusion (GO:1901739)	64	38	16.01	+	2.37	5.53E-09	1.78E-07
regulation of cholesterol biosynthetic process (GO:0045540)	27	16	6.76	+	2.37	1.62E-04	2.02E-03
plasma membrane repair (GO:0001778)	27	16	6.76	+	2.37	1.62E-04	2.02E-03
regulation of sterol biosynthetic process (GO:0106118)	27	16	6.76	+	2.37	1.62E-04	2.02E-03
nucleoside phosphate biosynthetic process (GO:1901293)	297	176	74.31	+	2.37	2.23E-36	5.32E-34
glucan catabolic process (GO:0009251)	27	16	6.76	+	2.37	1.62E-04	2.02E-03
striated muscle adaptation (GO:0014888)	27	16	6.76	+	2.37	1.62E-04	2.01E-03
embryonic placenta morphogenesis (GO:0060669)	27	16	6.76	+	2.37	1.62E-04	2.01E-03
regulation of superoxide anion generation (GO:0032928)	22	13	5.50	+	2.36	7.01E-04	7.05E-03
response to interleukin-7 (GO:0098760)	22	13	5.50	+	2.36	7.01E-04	7.05E-03
regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901028)	22	13	5.50	+	2.36	7.01E-04	7.04E-03
lipid modification (GO:0030258)	154	91	38.53	+	2.36	2.87E-19	2.20E-17
establishment of protein localization to endoplasmic reticulum (GO:0072599)	44	26	11.01	+	2.36	1.63E-06	3.42E-05
nucleoside triphosphate metabolic process (GO:0009141)	220	130	55.04	+	2.36	5.12E-27	7.30E-25
tail-anchored membrane protein insertion into ER membrane (GO:0071816)	17	10	4.25	+	2.35	3.11E-03	2.51E-02
positive regulation of cytoplasmic translation (GO:2000767)	17	10	4.25	+	2.35	3.11E-03	2.50E-02
angiotensin-activated signaling pathway (GO:0038166)	17	10	4.25	+	2.35	3.11E-03	2.50E-02
regulation of protein neddylation (GO:2000434)	17	10	4.25	+	2.35	3.11E-03	2.50E-02
regulation of clathrin-dependent endocytosis (GO:2000369)	17	10	4.25	+	2.35	3.11E-03	2.50E-02
pyrimidine nucleobase metabolic process (GO:0006206)	17	10	4.25	+	2.35	3.11E-03	2.50E-02
regulation of protein targeting to membrane (GO:0090313)	34	20	8.51	+	2.35	2.86E-05	4.45E-04
dense core granule localization (GO:0032253)	17	10	4.25	+	2.35	3.11E-03	2.50E-02
synaptic vesicle membrane organization (GO:0048499)	17	10	4.25	+	2.35	3.11E-03	2.50E-02
response to salt stress (GO:0009651)	17	10	4.25	+	2.35	3.11E-03	2.49E-02
clathrin-dependent endocytosis (GO:0072583)	34	20	8.51	+	2.35	2.86E-05	4.45E-04
protein-lipid complex assembly (GO:0065005)	29	17	7.26	+	2.34	1.22E-04	1.57E-03
positive regulation of lipid catabolic process (GO:0050996)	29	17	7.26	+	2.34	1.22E-04	1.57E-03
polysaccharide catabolic process (GO:0000272)	29	17	7.26	+	2.34	1.22E-04	1.57E-03
NAD+ metabolic process (GO:0019674)	41	24	10.26	+	2.34	5.15E-06	9.72E-05
positive regulation of fatty acid biosynthetic process (GO:0045723)	24	14	6.00	+	2.33	5.24E-04	5.46E-03
vesicle coating (GO:0006901)	36	21	9.01	+	2.33	2.16E-05	3.43E-04
cellular response to aldehyde (GO:0110096)	24	14	6.00	+	2.33	5.24E-04	5.46E-03
protein depolymerization (GO:0051261)	36	21	9.01	+	2.33	2.16E-05	3.43E-04
regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion (GO:0010881)	24	14	6.00	+	2.33	5.24E-04	5.45E-03
positive regulation of Ras protein signal transduction (GO:0046579)	24	14	6.00	+	2.33	5.24E-04	5.45E-03
intracellular pH reduction (GO:0051452)	55	32	13.76	+	2.33	3.01E-07	7.28E-06
lipid storage (GO:0019915)	55	32	13.76	+	2.33	3.01E-07	7.27E-06
Schwann cell development (GO:0014044)	43	25	10.76	+	2.32	3.89E-06	7.51E-05
response to iron ion (GO:0010039)	31	18	7.76	+	2.32	9.13E-05	1.22E-03
negative regulation of lipid transport (GO:0032369)	31	18	7.76	+	2.32	9.13E-05	1.22E-03
synaptic vesicle exocytosis (GO:0016079)	62	36	15.51	+	2.32	4.87E-08	1.34E-06
lipoprotein localization (GO:0044872)	19	11	4.75	+	2.31	2.29E-03	1.92E-02
arginine metabolic process (GO:0006525)	19	11	4.75	+	2.31	2.29E-03	1.92E-02
establishment of mitochondrion localization (GO:0051654)	38	22	9.51	+	2.31	1.63E-05	2.67E-04
secretory granule localization (GO:0032252)	19	11	4.75	+	2.31	2.29E-03	1.92E-02
positive regulation of protein export from nucleus (GO:0046827)	19	11	4.75	+	2.31	2.29E-03	1.92E-02
negative regulation of protein import into nucleus (GO:0042308)	19	11	4.75	+	2.31	2.29E-03	1.91E-02
mitochondrial membrane organization (GO:0007006)	114	66	28.52	+	2.31	8.41E-14	4.44E-12
mitochondrial respiratory chain complex assembly (GO:0033108)	102	59	25.52	+	2.31	1.88E-12	8.79E-11
glycogen catabolic process (GO:0005980)	26	15	6.51	+	2.31	3.90E-04	4.26E-03
endoplasmic reticulum calcium ion homeostasis (GO:0032469)	26	15	6.51	+	2.31	3.90E-04	4.26E-03
positive regulation of telomere maintenance via telomere lengthening (GO:1904358)	26	15	6.51	+	2.31	3.90E-04	4.26E-03
actin polymerization or depolymerization (GO:0008154)	59	34	14.76	+	2.30	1.39E-07	3.56E-06
striated muscle cell development (GO:0055002)	139	80	34.78	+	2.30	4.68E-16	2.91E-14
nucleotide biosynthetic process (GO:0009165)	212	122	53.04	+	2.30	5.11E-24	5.63E-22
regulation of sodium ion transmembrane transport (GO:1902305)	40	23	10.01	+	2.30	1.22E-05	2.09E-04
regulation of cellular respiration (GO:0043457)	47	27	11.76	+	2.30	3.51E-06	6.87E-05
dicarboxylic acid metabolic process (GO:0043648)	96	55	24.02	+	2.29	1.72E-11	7.48E-10
cellular detoxification (GO:1990748)	117	67	29.27	+	2.29	1.08E-13	5.69E-12
protein localization to endoplasmic reticulum (GO:0070972)	28	16	7.01	+	2.28	2.90E-04	3.31E-03
negative regulation of purine nucleotide metabolic process (GO:1900543)	28	16	7.01	+	2.28	2.90E-04	3.31E-03
response to increased oxygen levels (GO:0036296)	28	16	7.01	+	2.28	2.90E-04	3.31E-03
negative regulation of nucleotide metabolic process (GO:0045980)	28	16	7.01	+	2.28	2.90E-04	3.31E-03
vesicle budding from membrane (GO:0006900)	84	48	21.02	+	2.28	3.85E-10	1.45E-08
protein neddylation (GO:0045116)	21	12	5.25	+	2.28	1.69E-03	1.47E-02
lipid droplet formation (GO:0140042)	21	12	5.25	+	2.28	1.69E-03	1.47E-02
protein transport along microtubule (GO:0098840)	21	12	5.25	+	2.28	1.69E-03	1.46E-02
cellular response to interleukin-7 (GO:0098761)	21	12	5.25	+	2.28	1.69E-03	1.46E-02
microtubule-based protein transport (GO:0099118)	21	12	5.25	+	2.28	1.69E-03	1.46E-02
nucleotide-sugar metabolic process (GO:0009225)	42	24	10.51	+	2.28	1.47E-05	2.45E-04
potassium ion homeostasis (GO:0055075)	42	24	10.51	+	2.28	1.47E-05	2.44E-04
vitamin transmembrane transport (GO:0035461)	21	12	5.25	+	2.28	1.69E-03	1.46E-02
nucleobase metabolic process (GO:0009112)	35	20	8.76	+	2.28	5.11E-05	7.30E-04
positive regulation of sodium ion transport (GO:0010765)	35	20	8.76	+	2.28	5.11E-05	7.29E-04
high-density lipoprotein particle remodeling (GO:0034375)	21	12	5.25	+	2.28	1.69E-03	1.46E-02
regulation of syncytium formation by plasma membrane fusion (GO:0060142)	72	41	18.01	+	2.28	8.74E-09	2.73E-07
small molecule catabolic process (GO:0044282)	352	200	88.07	+	2.27	1.99E-37	4.98E-35
muscle cell development (GO:0055001)	169	96	42.28	+	2.27	1.16E-18	8.26E-17
cellular oxidant detoxification (GO:0098869)	81	46	20.27	+	2.27	1.16E-09	4.13E-08
secondary alcohol biosynthetic process (GO:1902653)	37	21	9.26	+	2.27	6.15E-05	8.54E-04
cholesterol biosynthetic process (GO:0006695)	37	21	9.26	+	2.27	6.15E-05	8.53E-04
regulation of plasma lipoprotein particle levels (GO:0097006)	67	38	16.76	+	2.27	3.58E-08	1.01E-06
response to glucagon (GO:0033762)	30	17	7.51	+	2.26	2.15E-04	2.58E-03
protein localization to cell surface (GO:0034394)	30	17	7.51	+	2.26	2.15E-04	2.58E-03
G protein-coupled dopamine receptor signaling pathway (GO:0007212)	23	13	5.75	+	2.26	1.24E-03	1.13E-02
translational initiation (GO:0006413)	69	39	17.26	+	2.26	2.61E-08	7.49E-07
amyloid-beta metabolic process (GO:0050435)	23	13	5.75	+	2.26	1.24E-03	1.13E-02
pyrimidine nucleoside monophosphate metabolic process (GO:0009129)	23	13	5.75	+	2.26	1.24E-03	1.13E-02
labyrinthine layer morphogenesis (GO:0060713)	23	13	5.75	+	2.26	1.24E-03	1.13E-02
protein-containing complex remodeling (GO:0034367)	39	22	9.76	+	2.25	4.16E-05	6.08E-04
amino acid biosynthetic process (GO:0008652)	71	40	17.76	+	2.25	1.92E-08	5.61E-07
positive regulation of actin filament bundle assembly (GO:0032233)	64	36	16.01	+	2.25	1.07E-07	2.81E-06
actin filament bundle assembly (GO:0051017)	66	37	16.51	+	2.24	7.82E-08	2.10E-06
maintenance of location in cell (GO:0051651)	75	42	18.76	+	2.24	1.05E-08	3.24E-07
negative regulation of ATP metabolic process (GO:1903579)	25	14	6.25	+	2.24	9.17E-04	8.87E-03
negative regulation of amide metabolic process (GO:0034249)	25	14	6.25	+	2.24	9.17E-04	8.86E-03
mitochondrion localization (GO:0051646)	59	33	14.76	+	2.24	4.35E-07	1.02E-05
regulation of ATP-dependent activity (GO:0043462)	34	19	8.51	+	2.23	1.74E-04	2.15E-03
regulation of lysosomal lumen pH (GO:0035751)	34	19	8.51	+	2.23	1.74E-04	2.15E-03
establishment of skin barrier (GO:0061436)	34	19	8.51	+	2.23	1.74E-04	2.15E-03
sterol biosynthetic process (GO:0016126)	43	24	10.76	+	2.23	2.00E-05	3.24E-04
anterograde axonal transport (GO:0008089)	43	24	10.76	+	2.23	2.00E-05	3.23E-04
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	70	39	17.51	+	2.23	4.26E-08	1.18E-06
regulation of response to endoplasmic reticulum stress (GO:1905897)	97	54	24.27	+	2.23	1.35E-10	5.34E-09
protein transmembrane transport (GO:0071806)	81	45	20.27	+	2.22	6.26E-09	1.99E-07
stress granule assembly (GO:0034063)	27	15	6.76	+	2.22	1.09E-03	1.01E-02
oligopeptide transport (GO:0006857)	18	10	4.50	+	2.22	5.43E-03	3.83E-02
plasma lipoprotein particle organization (GO:0071827)	54	30	13.51	+	2.22	1.78E-06	3.73E-05
protein catabolic process in the vacuole (GO:0007039)	18	10	4.50	+	2.22	5.43E-03	3.83E-02
polyamine metabolic process (GO:0006595)	18	10	4.50	+	2.22	5.43E-03	3.83E-02
protein insertion into mitochondrial inner membrane (GO:0045039)	18	10	4.50	+	2.22	5.43E-03	3.83E-02
regulation of fatty acid beta-oxidation (GO:0031998)	18	10	4.50	+	2.22	5.43E-03	3.82E-02
alanine transport (GO:0032328)	18	10	4.50	+	2.22	5.43E-03	3.82E-02
muscle adaptation (GO:0043500)	36	20	9.01	+	2.22	1.19E-04	1.54E-03
lipoprotein transport (GO:0042953)	18	10	4.50	+	2.22	5.43E-03	3.82E-02
mitochondrial fission (GO:0000266)	18	10	4.50	+	2.22	5.43E-03	3.82E-02
coenzyme A metabolic process (GO:0015936)	18	10	4.50	+	2.22	5.43E-03	3.82E-02
glutamine family amino acid biosynthetic process (GO:0009084)	18	10	4.50	+	2.22	5.43E-03	3.81E-02
positive regulation of autophagy of mitochondrion (GO:1903599)	27	15	6.76	+	2.22	1.09E-03	1.01E-02
positive regulation of calcium ion-dependent exocytosis (GO:0045956)	18	10	4.50	+	2.22	5.43E-03	3.81E-02
axo-dendritic transport (GO:0008088)	83	46	20.77	+	2.22	4.34E-09	1.43E-07
Schwann cell differentiation (GO:0014037)	47	26	11.76	+	2.21	1.01E-05	1.78E-04
regulation of cholesterol metabolic process (GO:0090181)	47	26	11.76	+	2.21	1.01E-05	1.78E-04
regulation of lipid catabolic process (GO:0050994)	67	37	16.76	+	2.21	2.18E-07	5.38E-06
negative regulation of lipid catabolic process (GO:0050995)	29	16	7.26	+	2.21	7.32E-04	7.31E-03
negative regulation of receptor-mediated endocytosis (GO:0048261)	29	16	7.26	+	2.21	7.32E-04	7.31E-03
actin filament bundle organization (GO:0061572)	69	38	17.26	+	2.20	1.47E-07	3.74E-06
regulation of fatty acid metabolic process (GO:0019217)	109	60	27.27	+	2.20	3.48E-11	1.47E-09
regulation of protein localization to plasma membrane (GO:1903076)	120	66	30.02	+	2.20	2.84E-12	1.31E-10
positive regulation of superoxide anion generation (GO:0032930)	20	11	5.00	+	2.20	3.95E-03	2.99E-02
negative regulation of purine nucleotide catabolic process (GO:0033122)	20	11	5.00	+	2.20	3.95E-03	2.99E-02
linoleic acid metabolic process (GO:0043651)	20	11	5.00	+	2.20	3.95E-03	2.99E-02
regulation of postsynaptic specialization assembly (GO:0099150)	20	11	5.00	+	2.20	3.95E-03	2.99E-02
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0098696)	20	11	5.00	+	2.20	3.95E-03	2.98E-02
modification of postsynaptic structure (GO:0099010)	20	11	5.00	+	2.20	3.95E-03	2.98E-02
negative regulation of nucleotide catabolic process (GO:0030812)	20	11	5.00	+	2.20	3.95E-03	2.98E-02
stress-activated protein kinase signaling cascade (GO:0031098)	20	11	5.00	+	2.20	3.95E-03	2.98E-02
aspartate transmembrane transport (GO:0015810)	20	11	5.00	+	2.20	3.95E-03	2.98E-02
protein localization to cell-cell junction (GO:0150105)	20	11	5.00	+	2.20	3.95E-03	2.98E-02
positive regulation of fatty acid metabolic process (GO:0045923)	40	22	10.01	+	2.20	5.82E-05	8.16E-04
negative regulation of glycolytic process (GO:0045820)	20	11	5.00	+	2.20	3.95E-03	2.98E-02
alpha-amino acid metabolic process (GO:1901605)	204	112	51.04	+	2.19	7.90E-20	6.38E-18
neurotransmitter uptake (GO:0001504)	31	17	7.76	+	2.19	4.98E-04	5.25E-03
positive regulation of microtubule polymerization (GO:0031116)	31	17	7.76	+	2.19	4.98E-04	5.24E-03
positive regulation of protein localization to plasma membrane (GO:1903078)	64	35	16.01	+	2.19	5.86E-07	1.35E-05
positive regulation of protein localization to membrane (GO:1905477)	86	47	21.52	+	2.18	4.50E-09	1.46E-07
triglyceride catabolic process (GO:0019433)	22	12	5.50	+	2.18	4.64E-03	3.39E-02
negative regulation of protein localization to plasma membrane (GO:1903077)	33	18	8.26	+	2.18	3.44E-04	3.86E-03
neurotransmitter secretion (GO:0007269)	88	48	22.02	+	2.18	3.28E-09	1.10E-07
cholesterol efflux (GO:0033344)	33	18	8.26	+	2.18	3.44E-04	3.85E-03
membrane protein ectodomain proteolysis (GO:0006509)	22	12	5.50	+	2.18	4.64E-03	3.39E-02
signal release from synapse (GO:0099643)	88	48	22.02	+	2.18	3.28E-09	1.10E-07
modification of synaptic structure (GO:0099563)	22	12	5.50	+	2.18	4.64E-03	3.38E-02
glycerol metabolic process (GO:0006071)	22	12	5.50	+	2.18	4.64E-03	3.38E-02
axonal transport (GO:0098930)	66	36	16.51	+	2.18	4.01E-07	9.48E-06
negative regulation of calcium-mediated signaling (GO:0050849)	22	12	5.50	+	2.18	4.64E-03	3.38E-02
regulation of synaptic vesicle endocytosis (GO:1900242)	22	12	5.50	+	2.18	4.64E-03	3.38E-02
regulation of cellular response to hypoxia (GO:1900037)	22	12	5.50	+	2.18	4.64E-03	3.38E-02
regulation of cardiac muscle contraction by calcium ion signaling (GO:0010882)	33	18	8.26	+	2.18	3.44E-04	3.85E-03
negative regulation of smooth muscle cell migration (GO:0014912)	22	12	5.50	+	2.18	4.64E-03	3.38E-02
proteinogenic amino acid metabolic process (GO:0170039)	167	91	41.78	+	2.18	3.57E-16	2.23E-14
pyruvate metabolic process (GO:0006090)	68	37	17.01	+	2.17	2.78E-07	6.77E-06
membrane biogenesis (GO:0044091)	68	37	17.01	+	2.17	2.78E-07	6.76E-06
protein-lipid complex organization (GO:0071825)	57	31	14.26	+	2.17	3.46E-06	6.81E-05
maintenance of protein location in cell (GO:0032507)	57	31	14.26	+	2.17	3.46E-06	6.80E-05
L-amino acid metabolic process (GO:0170033)	171	93	42.78	+	2.17	1.93E-16	1.21E-14
intra-Golgi vesicle-mediated transport (GO:0006891)	35	19	8.76	+	2.17	2.41E-04	2.84E-03
intracellular protein transmembrane transport (GO:0065002)	35	19	8.76	+	2.17	2.41E-04	2.84E-03
brown fat cell differentiation (GO:0050873)	35	19	8.76	+	2.17	2.41E-04	2.83E-03
regulation of transmembrane transporter activity (GO:0022898)	94	51	23.52	+	2.17	2.10E-09	7.27E-08
AMP metabolic process (GO:0046033)	24	13	6.00	+	2.16	3.09E-03	2.50E-02
regulation of endocytic recycling (GO:2001135)	24	13	6.00	+	2.16	3.09E-03	2.50E-02
positive regulation of mitophagy (GO:1901526)	24	13	6.00	+	2.16	3.09E-03	2.50E-02
amyloid precursor protein metabolic process (GO:0042982)	24	13	6.00	+	2.16	3.09E-03	2.50E-02
CD8-positive, alpha-beta T cell activation (GO:0036037)	24	13	6.00	+	2.16	3.09E-03	2.50E-02
aromatic amino acid family catabolic process (GO:0009074)	24	13	6.00	+	2.16	3.09E-03	2.49E-02
pyridine-containing compound biosynthetic process (GO:0072525)	24	13	6.00	+	2.16	3.09E-03	2.49E-02
membrane assembly (GO:0071709)	61	33	15.26	+	2.16	1.59E-06	3.37E-05
alpha-amino acid biosynthetic process (GO:1901607)	61	33	15.26	+	2.16	1.59E-06	3.36E-05
regulation of signaling receptor activity (GO:0010469)	61	33	15.26	+	2.16	1.59E-06	3.36E-05
negative regulation of intracellular protein transport (GO:0090317)	37	20	9.26	+	2.16	1.70E-04	2.11E-03
endoplasmic reticulum organization (GO:0007029)	100	54	25.02	+	2.16	6.88E-10	2.51E-08
cholesterol homeostasis (GO:0042632)	102	55	25.52	+	2.16	4.85E-10	1.80E-08
vesicle targeting (GO:0006903)	65	35	16.26	+	2.15	7.74E-07	1.75E-05
positive regulation of vacuole organization (GO:0044090)	26	14	6.51	+	2.15	2.09E-03	1.77E-02
xenobiotic transport (GO:0042908)	52	28	13.01	+	2.15	1.37E-05	2.29E-04
proteinogenic amino acid biosynthetic process (GO:0170038)	52	28	13.01	+	2.15	1.37E-05	2.29E-04
nucleotide salvage (GO:0043173)	26	14	6.51	+	2.15	2.09E-03	1.77E-02
regulation of fatty acid biosynthetic process (GO:0042304)	52	28	13.01	+	2.15	1.37E-05	2.29E-04
regulation of mRNA splicing, via spliceosome (GO:0048024)	125	67	31.27	+	2.14	9.68E-12	4.24E-10
nicotinamide nucleotide metabolic process (GO:0046496)	114	61	28.52	+	2.14	1.16E-10	4.64E-09
regulation of actin filament polymerization (GO:0030833)	129	69	32.28	+	2.14	4.81E-12	2.17E-10
positive regulation of substrate adhesion-dependent cell spreading (GO:1900026)	43	23	10.76	+	2.14	6.30E-05	8.72E-04
cellular response to toxic substance (GO:0097237)	129	69	32.28	+	2.14	4.81E-12	2.17E-10
regulation of sodium ion transport (GO:0002028)	73	39	18.26	+	2.14	2.04E-07	5.05E-06
vascular transport (GO:0010232)	88	47	22.02	+	2.13	1.50E-08	4.48E-07
transport across blood-brain barrier (GO:0150104)	88	47	22.02	+	2.13	1.50E-08	4.47E-07
sterol homeostasis (GO:0055092)	103	55	25.77	+	2.13	7.03E-10	2.55E-08
regulation of protein localization to synapse (GO:1902473)	30	16	7.51	+	2.13	9.95E-04	9.30E-03
negative regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902042)	30	16	7.51	+	2.13	9.95E-04	9.30E-03
regulation of superoxide metabolic process (GO:0090322)	30	16	7.51	+	2.13	9.95E-04	9.29E-03
regulation of cardiac muscle cell action potential (GO:0098901)	30	16	7.51	+	2.13	9.95E-04	9.28E-03
nutrient storage (GO:0170062)	60	32	15.01	+	2.13	3.06E-06	6.13E-05
vesicle transport along microtubule (GO:0047496)	45	24	11.26	+	2.13	4.58E-05	6.61E-04
amino acid import across plasma membrane (GO:0089718)	45	24	11.26	+	2.13	4.58E-05	6.61E-04
hexose metabolic process (GO:0019318)	160	85	40.03	+	2.12	2.47E-14	1.35E-12
glutamate metabolic process (GO:0006536)	32	17	8.01	+	2.12	6.99E-04	7.04E-03
protein heterooligomerization (GO:0051291)	32	17	8.01	+	2.12	6.99E-04	7.03E-03
regulation of protein localization to membrane (GO:1905475)	177	94	44.28	+	2.12	1.33E-15	7.93E-14
sterol transport (GO:0015918)	81	43	20.27	+	2.12	8.43E-08	2.25E-06
musculoskeletal movement (GO:0050881)	49	26	12.26	+	2.12	3.64E-05	5.44E-04
regulation of actin polymerization or depolymerization (GO:0008064)	149	79	37.28	+	2.12	2.58E-13	1.30E-11
fatty acid metabolic process (GO:0006631)	336	178	84.07	+	2.12	2.42E-28	3.82E-26
